Headline,Date
Prime Couture? Luxury Could Be Amazon’s Next Target.,"Aug. 26, 2020 at 12:26 p.m. ET"
Nike Is Taking ‘Control of Its Own Destiny.’ Time to Buy.,"Aug. 25, 2020 at 10:34 a.m. ET"
‘Back to School’ Is Not the Same. Here Are 4 Stock Picks to Play the Changes.,"Aug. 21, 2020 at 4:46 p.m. ET"
"Apple Inc., Nike share gains lead Dow's 215-point climb","Aug. 21, 2020 at 3:01 p.m. ET"
"Apple Inc., Nike share gains contribute to Dow's nearly 150-point climb","Aug. 21, 2020 at 1:37 p.m. ET"
"Dow flat in spite of gains for Nike, Visa shares","Aug. 19, 2020 at 2:15 p.m. ET"
"Dow up 87 points on gains for Goldman Sachs, Nike stocks","Aug. 19, 2020 at 9:45 a.m. ET"
Nike stock price target raised to $150 from $130 at Susquehanna,"Aug. 19, 2020 at 6:25 a.m. ET"
Nike stock price target raised to $140 from $122 at Stifel Nicolaus,"Aug. 18, 2020 at 7:44 a.m. ET"
"Farfetch stock soars as the shift to digital, luxury market share gains and exclusive merchandise drive revenue","Aug. 17, 2020 at 7:45 a.m. ET"
Stocks Likely to Survive the U.S.-China Decoupling,"Aug. 14, 2020 at 5:37 p.m. ET"
"Foot Locker got a Q2 boost from government stimulus but Q3 could be a different story, analysts say","Aug. 11, 2020 at 3:37 p.m. ET"
"Charting the approach of record highs, S&P 500 rises amid market rotation","Aug. 11, 2020 at 12:49 p.m. ET"
"After 150 days of the COVID-19 pandemic, here are the best- and worst-performing stocks","Aug. 11, 2020 at 9:27 a.m. ET"
"Boeing, Caterpillar share gains contribute to Dow's 364-point rally","Aug. 10, 2020 at 3:22 p.m. ET"
"Dow's nearly 300-point rally highlighted by gains for Boeing, Nike stocks","Aug. 10, 2020 at 12:00 p.m. ET"
"Boeing, Caterpillar share gains lead Dow's nearly 150-point jump","Aug. 10, 2020 at 10:59 a.m. ET"
"Dow jumps 211 points on gains for shares of Nike, Boeing","Aug. 10, 2020 at 9:45 a.m. ET"
"Dow rallies nearly 400 points on gains for shares of Walt Disney, Boeing","Aug. 5, 2020 at 3:58 p.m. ET"
"Walt Disney, Nike share gains contribute to Dow's 319-point rally","Aug. 5, 2020 at 11:01 a.m. ET"
"Dow's 200-point climb led by gains in shares of Microsoft, Merck","Aug. 3, 2020 at 11:12 a.m. ET"
Shoppers Are Forming New Habits in the Pandemic. These Retailers Could Benefit.,"Aug. 3, 2020 at 8:00 a.m. ET"
"Dow climbs 69 points on gains for shares of UnitedHealth, Apple Inc.","Jul. 29, 2020 at 10:09 a.m. ET"
"Macy’s, Kohl’s suffer as brands, competitors and e-commerce step in to replace department stores","Jul. 24, 2020 at 8:02 a.m. ET"
Don’t Chase Nike Stock. Buy Under Armour Instead.,"Jul. 24, 2020 at 7:30 a.m. ET"
