AAPL,AAPL,AAPL,AAPL,AAPL
open,high,low,close,volume
172.63,172.92,167.16,169.49,34373586
170.43,172.14,168.44,171.75,24465789
169.9,171.67,168.5,171.0,28912970
172.47,172.62,169.63,169.76,24866974
169.33,171.52,168.4,169.65,21377668
167.5,170.2047,166.46,169.05,21545899
169.03,170.44,168.91,169.33,19450089
170.49,171.0,168.82,169.36,18039550
169.2,172.89,168.79,172.66,23625893
172.15,172.39,171.461,171.73,14793147
172.63,173.54,172.0,172.31,18307475
172.43,173.13,171.65,172.22,16576895
172.81,174.17,172.46,173.88,26667725
174.92,177.2,174.86,176.43,21647216
175.03,175.39,174.09,174.53,21307511
174.87,175.42,173.25,174.36,17847200
174.17,176.02,174.1,175.01,15431929
174.68,175.424,174.5,175.05,11186150
170.8,171.47,169.679,170.57,27529613
170.1,170.78,169.71,170.58,16439823
171.0,171.85,170.48,171.07,13307218
170.71,170.71,169.22,169.3,19469267
170.16,172.3,169.26,172.26,20523941
172.53,174.55,171.96,172.18,23193409
172.54,173.47,172.08,173.02,17742231
173.44,175.37,173.05,174.96,18402859
174.31,175.61,173.93,174.34,15554212
174.55,175.06,173.41,174.33,17267132
173.16,174.3,173.0,174.245,19012396
174.59,175.4886,174.49,175.27,14222366
176.18,177.36,175.65,177.0,17956716
177.91,179.39,176.14,176.2,23154527
176.15,179.25,175.07,179.1,26958931
179.37,180.1,178.25,179.27,23144183
178.61,179.58,177.41,178.45,21452221
177.3,177.78,176.602,177.01,19801191
177.3,179.44,176.82,176.96,26523532
177.25,177.3,173.2,174.22,40325546
174.28,174.95,170.53,171.1,33340074
172.0,172.0,170.06,171.45,30510493
170.16,170.16,167.07,167.96,38802170
165.555,167.37,164.7,166.96,38306962
166.87,168.4417,166.5,167.47,24160485
167.165,168.62,166.76,167.7,29765526
166.47,166.8,160.1,160.41,67919941
159.1,163.88,156.0,156.49,59470254
154.91,163.72,154.0,163.06,54780528
163.085,163.4,159.0685,159.52,41035232
160.29,161.0,155.03,155.16,43609866
156.67,157.89,150.24,156.22,54464820
158.48,163.89,157.51,162.75,45978023
161.95,164.75,161.65,164.3451,26023893
163.045,167.54,162.88,167.36,32197106
169.79,173.09,169.0,173.0,43517636
172.36,174.82,171.77,172.45,33864874
172.07,174.26,171.42,171.85,27565605
172.83,174.12,171.01,171.01,30377663
171.85,173.95,171.71,172.61,26187505
173.67,175.65,173.54,175.56,28074124
176.35,179.39,176.21,178.98,30961837
179.1,180.48,178.16,178.34,32686808
179.33,180.615,178.05,178.13,26337414
178.54,179.775,172.66,174.95,41423985
172.8,176.3,172.45,176.28,31779596
175.21,177.74,174.52,176.83,22661785
177.91,178.25,176.13,176.68,19589517
175.15,175.85,174.27,175.02,25064495
175.48,177.12,175.07,176.95,19424129
177.96,180.0,177.39,179.96,25304044
180.29,182.39,180.21,181.73,27713861
182.57,183.5,179.24,179.95,26591337
180.32,180.52,177.81,178.485,24683076
178.5,180.24,178.0701,178.65,18598941
178.61,179.12,177.62,177.89,22076737
177.37,177.47,173.66,175.32,26080445
175.24,176.8,174.94,175.25,15303553
175.04,175.09,171.26,171.27,29835499
170.0,172.68,168.6,168.75,34791308
168.39,169.92,164.94,164.96,32035770
168.07,173.1,166.44,172.76,27980655
173.69,175.15,166.92,168.35,32610401
167.25,170.02,165.19,166.48,32621496
167.805,171.75,166.9,167.91,25762606
167.88,168.94,164.47,166.68,30080214
167.64,168.7455,164.88,168.39,23608807
164.88,172.01,164.77,171.58,27468450
172.58,174.2304,172.08,172.78,21288394
170.97,172.48,168.2,168.35,26793087
169.88,173.09,169.845,170.06,22345042
173.0,174.0,171.53,173.25,23471241
172.23,173.9232,171.7,172.44,18090913
173.41,175.0,173.04,174.16,18783496
174.76,175.84,173.85,174.73,18387042
175.0301,176.19,174.8301,175.82,18011687
176.49,178.9365,176.41,178.24,19446989
177.81,178.82,176.88,177.84,16089854
174.95,175.39,172.66,172.8,28152833
170.595,171.2184,165.43,165.72,54178001
166.8348,166.92,164.09,165.25,28220229
165.67,166.33,161.2201,162.94,28381103
162.62,165.42,162.41,163.7716,22795099
164.12,165.73,163.37,164.22,21898218
164.0,164.33,160.63,162.33,30193502
162.1302,167.26,161.84,165.26,32012814
166.4102,169.2,165.27,169.0,36454671
175.225,177.75,173.8,176.62,54314549
175.88,177.5,174.4411,176.91,28142461
178.25,184.25,178.17,183.83,47736638
185.18,187.67,184.75,185.1,36221788
184.99,186.22,183.665,186.04,21645147
186.58,187.4,185.22,187.24,18740306
187.74,190.37,187.65,190.03,23452024
189.49,190.06,187.45,188.59,18359973
189.01,189.53,187.86,188.17,14867957
186.78,187.07,185.1,186.44,18353467
186.07,188.46,186.0,188.19,15299288
188.0,188.91,186.36,186.99,13931428
187.19,187.8102,186.13,186.29,14080351
188.0,189.27,186.9106,187.61,14657411
188.375,188.88,186.78,187.31,10892693
186.35,188.5,185.76,188.45,13163973
188.77,188.84,186.21,188.21,15019898
188.23,189.65,187.65,188.58,13702107
187.6,188.75,186.87,187.86,17042382
187.72,188.0,186.78,187.5,14392159
187.25,188.23,186.14,186.88,16629099
187.9912,190.26,187.75,190.23,18945563
191.6,193.42,191.35,191.81,21384586
193.065,193.94,192.36,193.31,17150795
193.63,194.08,191.92,194.05,14723517
194.14,194.2,192.335,193.48,15194845
191.17,192.0,189.77,191.48,19848900
191.35,191.97,190.21,191.26,14652792
191.385,192.611,191.15,192.25,12611787
192.42,192.88,190.44,190.71,14937487
191.55,191.57,190.22,190.81,15777357
190.03,190.16,188.26,188.92,28467278
187.88,189.22,187.2,188.76,12508865
185.26,186.33,183.45,185.77,24443783
186.35,187.2,185.73,186.5,15060518
187.25,188.35,184.94,185.47,16736811
185.91,186.15,184.7,184.92,12745954
183.4,184.92,180.73,182.18,23549810
182.89,186.53,182.54,184.44,18733475
185.2278,187.28,184.03,184.165,19664360
184.1,186.21,183.8,185.51,13497782
186.29,187.19,182.91,182.91,14503193
183.82,187.3,183.42,187.15,13335802
187.79,187.95,183.54,183.64,10840264
185.26,186.41,184.28,185.38,12922262
185.42,188.434,185.2,187.98,13353148
189.5,190.68,189.3,190.61,14632953
190.71,191.28,190.1801,190.35,11688121
188.5,189.7799,187.61,187.93,13470057
189.53,191.41,189.31,191.04,13311692
191.08,191.84,190.9,191.33,9533809
191.52,192.65,190.415,190.92,11046180
189.75,191.87,189.2,191.47,11045518
191.78,191.8,189.93,190.4,10596028
189.7,192.55,189.69,191.97,14036840
191.76,192.43,190.17,191.67,13337496
190.68,191.96,189.56,191.6,10880167
192.45,193.6601,192.05,192.99,13299653
193.0602,194.85,192.43,194.82,12525375
194.61,195.96,193.61,194.23,14241029
194.99,195.19,190.1,190.98,18520705
191.9,192.2,189.07,189.94,15726885
190.34,192.14,189.34,190.58,23827866
199.13,201.76,197.31,201.62,55058201
200.58,208.38,200.35,207.38,52607314
207.03,208.74,205.4803,207.98,26246694
208.0,209.25,207.07,209.06,20174048
209.32,209.5,206.76,207.11,20857548
206.09,207.81,204.52,207.25,16545228
207.28,209.78,207.2,208.89,18767039
207.36,209.1,206.67,207.55,18212953
207.7,210.952,207.7,208.86,21242149
210.155,210.56,208.26,209.76,14731443
209.22,210.74,208.33,210.3,22393387
211.75,213.8121,211.47,213.48,21207805
213.44,217.95,213.16,217.61,28900675
218.1,219.18,215.11,215.45,23264202
216.8,217.19,214.025,215.06,20519450
214.1,216.36,213.84,215.06,14190013
214.65,217.05,214.6,215.58,14354885
216.6,216.9,215.11,216.14,13508061
217.15,218.74,216.33,217.99,15634971
219.01,220.54,218.92,219.71,18414478
220.15,223.49,219.41,222.98,21467701
223.25,228.26,222.4,225.07,40292721
226.51,228.87,226.21,227.51,30059736
228.41,229.18,226.63,228.36,20702933
228.99,229.67,225.1,226.87,25898450
226.23,227.35,221.3,223.12,27250729
221.85,225.37,220.71,221.42,29596507
220.96,221.85,216.47,218.3402,29370268
218.01,224.299,216.56,223.86,27700011
224.94,225.0,219.84,221.06,39249350
223.52,228.35,222.57,226.4,31575373
225.75,226.84,222.522,223.64,23562371
222.15,222.95,217.27,217.89,28375627
217.79,221.85,217.12,218.24,24147467
218.5,219.62,215.3,218.34,20793048
220.32,222.28,219.15,220.04,19407352
220.57,221.36,217.29,217.655,35567117
216.82,221.26,216.63,220.79,19526076
219.75,222.82,219.7,222.19,15917628
221.0,223.75,219.76,220.51,17135872
223.79,226.44,223.54,225.09,21761696
224.79,225.84,224.02,225.76,15106196
227.95,229.42,226.35,227.27,16337487
227.25,230.0,226.63,229.29,18374731
230.05,233.47,229.78,232.1,21649962
230.78,232.35,226.73,227.99,23764631
227.96,228.41,220.58,224.26,25806520
222.21,224.8,220.2,223.76,21084112
223.63,227.27,222.2462,226.87,19672102
225.46,226.35,216.05,216.39,29815295
214.52,219.5,212.32,214.45,38787008
220.42,222.88,216.84,222.11,28354162
221.16,221.83,217.27,217.28,22403259
218.93,222.99,216.7627,222.13,21865043
222.3,222.64,219.34,221.2,16169647
217.86,219.74,213.0,216.12,23483746
219.16,221.26,217.43,219.3,23788682
219.79,223.36,218.94,220.59,23781840
215.83,223.25,214.7,222.9,36787089
222.6,224.23,214.54,215.06,36197804
217.71,222.44,216.75,219.85,22758164
215.9,220.19,212.67,216.03,41258595
219.255,219.69,206.09,212.55,36069395
211.15,215.18,209.27,213.33,29704603
216.88,220.45,216.62,218.75,31900983
219.07,222.36,216.81,222.05,40261246
209.55,213.89,205.43,206.14,82917876
204.3,204.39,198.17,201.59,51670747
201.92,204.72,201.69,203.78,27934956
205.89,210.01,204.13,209.91,26705827
209.94,210.12,206.75,208.49,19216333
205.55,206.01,202.25,204.47,23852926
198.9,199.85,193.79,194.2,40614690
191.63,197.18,191.4501,192.23,35553485
193.9,194.48,185.93,186.76,57202350
188.39,193.99,186.9,191.5,42306727
190.5,194.9695,189.46,193.58,34044307
190.0,190.7,184.99,185.85,37092706
178.37,181.47,175.51,177.01,63109179
179.73,180.27,176.55,176.82,27395649
174.94,176.595,172.1,172.25,21939557
174.24,174.95,170.26,174.58,40367186
171.51,174.77,170.88,174.245,37132335
176.73,181.29,174.93,180.96,42264101
182.66,182.8,177.7,179.55,38797596
180.29,180.33,177.03,178.6,28559844
184.46,184.94,181.21,184.93,35606774
180.95,182.3899,176.27,176.67,35659368
171.76,174.78,170.42,174.77,38911135
173.49,174.49,168.3,168.38,37358874
165.0,170.09,163.33,169.61,57206552
171.66,171.79,167.0,168.67,41305424
170.4,171.92,169.02,169.04,30803351
170.49,172.57,169.22,170.82,29424166
169.0,169.08,165.28,165.4,36692953
165.45,168.35,162.73,163.97,37985427
165.38,167.53,164.39,165.87,29845988
166.0,167.45,158.7,160.76,41382586
160.4,162.11,155.3,156.84,58947341
156.86,158.16,149.63,150.85,72723677
148.15,151.55,146.44,146.62,34312501
148.3,157.22,146.72,157.18,52488787
155.84,156.77,150.07,156.12,46950454
157.47,158.52,154.55,156.07,37588889
158.53,159.36,156.51,156.7,29014557
154.89,158.85,154.23,157.5225,27803621
143.98,145.72,142.0,142.29,82418448
144.53,148.5499,143.8,148.12,51267225
148.7,148.83,145.9,147.91,49982480
149.56,151.82,148.52,150.63,36592406
151.29,154.53,149.63,153.37,40827842
152.5,153.97,150.86,153.55,32553301
152.88,153.7,151.51,152.0534,22850904
150.85,151.27,149.22,149.76,26038136
150.27,153.39,150.05,152.95,25862287
153.08,155.88,153.0,154.91,27032885
154.2,157.66,153.26,155.53,26717099
157.5,157.88,155.9806,156.57,30450605
156.41,156.73,152.62,152.93,24086204
154.15,155.14,151.7,153.6799,20246607
154.11,154.48,151.74,152.63,20669415
155.48,158.13,154.32,157.5,29575048
155.79,156.28,153.66,156.0878,22270959
156.25,158.13,154.11,154.5,30723484
163.25,166.15,160.23,165.49,49026033
166.11,169.0,164.56,166.6249,31699885
166.96,168.98,165.93,166.62,25342728
167.41,171.655,167.28,170.99,26912592
172.86,175.08,172.3501,174.01,31860037
174.65,175.57,172.8531,174.1699,25696142
172.4,173.94,170.34,170.64,28233078
168.99,170.66,168.42,170.04,20428524
171.05,171.21,169.25,169.43,17954651
170.1,171.0,169.7,170.7384,18989903
171.39,172.48,169.92,169.98,19353125
169.71,171.2615,169.38,170.98,18263570
171.25,171.7,169.75,170.25,22555013
169.71,171.44,169.49,170.8499,16672024
171.19,173.32,170.99,172.09,22439817
171.8,172.37,170.3,171.14,15647117
171.58,173.0,171.38,172.97,15245361
174.16,175.87,173.95,174.26,19540227
173.71,175.3,173.1732,174.35,14716104
173.26,175.0,172.73,174.88,22914417
174.32,174.91,172.92,173.2,19815729
174.28,175.15,172.89,174.97,20830861
175.69,177.75,173.97,175.86,24195978
175.94,176.0,174.54,175.51,15413946
174.67,175.49,173.94,174.51,17535168
174.02,174.44,172.02,172.47,20110131
170.32,173.07,169.5,172.92,19475688
175.49,179.12,175.35,178.98,26225966
180.0,182.67,179.37,180.94,27277399
182.25,183.3,180.92,181.72,23960992
183.9,184.1,182.56,183.73,19457731
184.66,187.33,184.66,186.21,21750706
185.8,188.39,185.79,188.03,22563772
188.35,188.99,185.92,186.54,26863005
186.23,189.49,184.73,188.17,26974003
190.02,196.33,189.81,195.05,42720798
195.34,197.69,190.78,191.06,38334323
191.55,191.98,186.6,188.77,40742481
191.64,192.88,184.58,186.79,43454017
188.75,189.76,186.55,188.47,26586290
188.95,189.559,187.53,188.71,19309376
189.99,190.08,188.54,189.94,18489986
191.64,191.68,188.38,191.24,12098014
191.09,194.46,191.05,194.04,19797454
193.25,196.5,193.15,195.35,19793141
194.79,196.37,193.14,195.72,17091108
196.45,197.1,195.93,196.97,15842943
196.42,200.23,196.34,200.08,23231403
200.32,202.85,199.23,199.5,32840959
198.68,200.74,198.18,200.66,19861942
200.85,201.0,198.4431,198.95,17931789
199.2,200.14,196.21,198.88,24667735
198.58,199.85,198.01,199.23,14551176
199.46,201.37,198.56,199.25,24002891
199.54,203.38,198.61,203.12,27366117
203.12,204.15,202.52,203.86,21928367
202.83,204.94,202.34,204.64,13720923
204.43,207.75,203.9,207.51,19401417
207.36,208.48,207.05,207.18,14914939
206.83,207.76,205.12,205.24,15908807
204.9,205.0,202.12,204.29,16315669
204.4,205.97,203.86,204.61,19641066
203.06,203.4,199.11,200.57,35362106
209.88,215.31,209.23,210.52,57751414
209.84,212.65,208.13,209.17,29014844
210.74,211.84,210.23,211.78,17987793
204.29,208.84,203.5,208.6,28949691
205.88,207.4175,200.825,202.86,34328425
201.9,205.34,201.75,202.9,22729670
200.4,201.68,196.66,200.72,32427147
197.419,198.85,192.77,197.3,36118438
187.71,189.48,182.85,185.72,50491792
186.41,189.7,185.41,188.65,31498214
186.27,191.75,186.02,190.92,23655393
189.91,192.4689,188.84,190.14,28660083
186.93,190.9,186.76,188.98,29246990
183.52,184.349,180.2839,183.09,33285709
185.22,188.0,184.7,186.59,23901501
184.66,185.71,182.55,182.79,26540561
179.8,180.54,177.81,179.67,31272923
180.2,182.14,178.62,179.06,21514327
178.9,180.59,177.91,178.17,22515281
