Headline,Date
Tesla shares down 2% in after-hours trade,2013-04-02
Tesla stock expected to be under close scrutiny,2013-04-03
Wednesday’s movers: Netflix flogged by Icahn rumor,2013-04-03
Tesla stock target hiked to $50 at Northland Cap,2013-04-03
Tesla's stock deflates on Model S financing deal,2013-04-03
Tesla shares drop 6% on Model S leasing program,2013-04-03
"Stock futures flat, erase gains after ADP data",2013-04-03
Nasdaq ventures to less-charted territory,2013-04-05
"Links: Bond managers can be rockstars, too",2013-04-23
Honeywell has its hands in the honey pot,2013-04-24
Thursday’s movers: Tesla pops on Musk tweet,2013-04-25
Tesla offers enhanced Model S service package,2013-04-26
Tesla offers enhanced Model S service package,2013-04-26
Friday’s movers: J.C. Penney’s best day in 16 mos.,2013-04-26
"Tesla tweaks Model S resale guarantee, financing",2013-05-03
Tesla Motors shares up 5% premarket,2013-05-07
Tuesday’s movers: Einhorn still likes Apple,2013-05-07
Tesla breaks even in Q1 vs loss of 86c a share,2013-05-08
Tesla Q1 revenue $561.8 mln vs $30.2 mln,2013-05-08
Tesla reports first profit; stock gains,2013-05-08
"Updates, advisories and surprises",2013-05-08
Tesla reports first-ever quarterly profit,2013-05-08
Tesla Motors shares rally after hours,2013-05-08
"AOL, Tesla are Wednesday’s stocks to watch",2013-05-08
Tesla shares jump 8% after quarterly results,2013-05-08
"Tesla, Green Mountain, Groupon are stocks to watch",2013-05-09
"U.S. stocks fall, halting record-setting run",2013-05-09
U.S. stock futures drop after record run,2013-05-09
Thursday’s movers: Chanos is Seagate’s albatross,2013-05-09
Tesla Motors cut to neutral at Goldman Sachs,2013-05-09
Goldman sees more balanced risk/reward at Tesla,2013-05-09
Tesla Motors shares up more than 19% premarket,2013-05-09
"Priceline, Nvidia are Friday’s stocks to watch",2013-05-10
U.S. stocks rise for third week; records set,2013-05-10
"Friday’s movers: Tesla, Groupon notch weekly gains",2013-05-10
"Stock shorts get hurt, but don’t call it a squeeze",2013-05-12
Stocks to watch: Tesla to remain in focus Monday,2013-05-13
Monday’s movers: Tesla shows few signs of slowing,2013-05-13
The problem with P/E ratios,2013-05-13
Tuesday’s movers: Tesla shifts to reverse,2013-05-14
Tesla shares rise 4% on Musk $100 mln stock buy,2013-05-15
"Cisco, Tesla shares jump after hours",2013-05-15
"Apple, Tesla, Dell are Thursday’s stocks to watch",2013-05-16
Volatility Index ticks higher despite market gains,2013-05-16
This market welcomes speculation,2013-05-16
Thursday’s movers: Berkshire hit by S&P downgrade,2013-05-16
Stock futures fall as jobless claims rise,2013-05-16
Tesla's convertible note sale raised to $600 mln,2013-05-17
Shades of 1999 serve as warning for investors,2013-05-21
10 big short squeezes besides Tesla,2013-05-22
Tesla pays off Department of Energy loan,2013-05-22
"H-P shares jump after earnings, outlook",2013-05-22
Charting a Fed-induced market whipsaw,2013-05-23
Tuesday’s movers: Netflix slumps more than 6%,2013-05-28
U.S. stocks rise; optimism ‘as high as a kite’,2013-05-28
10 years of Tesla Motors,2013-05-29
NV Energy shares jump on Berkshire buy,2013-05-29
Wednesday’s movers: Tesla hits roadblock,2013-05-29
Tesla stock drop trips short-sale circuit breaker,2013-05-29
Stocks to watch at D11 conference,2013-05-29
Tesla charge speed to rise: 3hrs drive time in 20m,2013-05-30
Tesla to triple supercharger stations by July,2013-05-30
Tesla announces expansion of supercharger network,2013-05-30
The Internet trends you need to know,2013-05-30
Thursday’s movers: Tesla wobbly after charger news,2013-05-30
Friday’s movers: Tesla closes May with 81% gain,2013-05-31
Monday’s movers: Zynga sinks on layoff plan,2013-06-03
Wednesday’s movers: Apple hit by patent ruling,2013-06-05
E.ON sets up VC unit to boost tech profile,2013-06-06
Tesla shares fall after Barron's article,2013-06-10
Tesla shares fall 3.2% after Barron's article,2013-06-10
4 ways to prepare for summer volatility,2013-06-13
SolarCity shines after Credit Suisse upgrade,2013-06-14
Tesla started at overweight by Global Equities,2013-06-17
Tesla shares up 2% in premarket trade,2013-06-17
Monday’s movers: Netflix leads S&P 500,2013-06-17
Tesla started at overweight by Global Equities,2013-06-17
"SolarCity, Tesla are Monday’s stocks to watch",2013-06-17
"U.S. stocks sink, yields rise after Fed move",2013-06-19
Stock futures wobble as jitters set in before Fed,2013-06-19
Wednesday movers: BlackBerry falls on sell rating,2013-06-19
Tesla recalls about 800 Model S vehicles,2013-06-19
"Aston Martin Rapide S: a beauty, a blast",2013-06-22
Six stocks on the move,2013-06-27
Major U.S. benchmarks balk at the 50-day average,2013-06-28
U.S. stock-index futures rise on Alcoa results,2013-07-09
Tesla to join Nasdaq-100 July 15 as Oracle leaves,2013-07-09
Tuesday’s movers: Home builders lead S&P higher,2013-07-09
High interest rates will hurt the autos,2013-07-12
5 bubbles investors need to watch,2013-07-13
The long-cash squeeze,2013-07-15
Tuesday movers: Tesla tanks 14% on Goldman report,2013-07-16
Tesla Motors slumps 9% to $115.85 a share,2013-07-16
Tesla’s Elon Musk has a wild new idea,2013-07-17
Wednesday’s movers: Tesla regains some ground,2013-07-17
Glamour stocks continue to pave the way,2013-07-18
"Ignore your feelings, obey the market",2013-07-23
Flexibility is the key for speculators,2013-07-30
GM Volt zapped in electric-car price war,2013-08-06
Large investors are gung-ho for growth,2013-08-06
Tesla Q2 net loss 26 cts vs $1.00 a share loss,2013-08-07
Tesla Q2 revs $401.5 mln vs $26.7 mln,2013-08-07
"Tesla shares add to gains, up 14%",2013-08-07
"Tesla narrows net loss, shares jump 13%",2013-08-07
Tesla loss narrows on sales jump; shares rise,2013-08-07
"Updates, advisories and surprises",2013-08-07
Tesla's Musk confident on 25% margin: live blog,2013-08-07
"Tesla, Groupon rally on earnings after hours",2013-08-07
"Wednesday’s movers: Disney, Zillow, First Solar",2013-08-07
Tesla Q2 adjusted earnings 20 cts a share,2013-08-07
Tesla shares jump 8% after quarterly results,2013-08-07
"Thursday’s movers: Tesla, Orbitz, Dean Foods",2013-08-08
"Updates, advisories and surprises",2013-08-08
A bullish sign for Spain,2013-08-08
Tesla shares jump 17% post results,2013-08-08
Tesla leaps 15% in premarket after surprise profit,2013-08-08
SolarCity shares drop after it posts Q2 loss,2013-08-08
Stock futures up; claims near five-year low,2013-08-08
"Tesla, Groupon, T-Mobile in focus Thursday",2013-08-08
Top 10: Tesla surges while Penney plunges,2013-08-09
"Monday’s movers: BlackBerry, Apple, Tesla",2013-08-12
Tesla cut to neutral at Lazard Capital Markets,2013-08-12
Elon Musk to detail Hyperloop info at 1:30 PDT,2013-08-12
"Tesla shares drop nearly 4%, weigh on Nasdaq 100",2013-08-12
"Stock futures knocked by Japan data, taper fears",2013-08-12
Elon Musk to detail Hyperloop info at 1:30 PDT,2013-08-12
10 glimpses into Elon Musk’s Hyperloop dream,2013-08-13
Tesla’s supply hurdle could slow success,2013-08-14
A market with bad breadth,2013-08-20
Monday’s movers: Amgen leads S&P 500 on mega-deal,2013-08-26
"Tesla shares rise 2%, set to open at record high",2013-08-26
Electric cars to watch in 2013,2013-09-04
Syria may spur a pick from the oil patch,2013-09-06
Tesla to build European car-charging network,2013-09-11
The Dow is an accident of history,2013-09-12
GM develops long-range electric car to rival Tesla,2013-09-17
Safeway jumps after Jana discloses stake,2013-09-17
Speculators should eye the Four Horsemen,2013-09-17
"Tesla hits record, Groupon rallies on upgrade",2013-09-19
Tesla rises 3% premarket after Deutsche Bank call,2013-09-19
"Apple, AK Steel, Microsoft: hot stocks",2013-09-20
Cupboard is bare for stock speculators,2013-09-24
Hertz shares dive premarket on guidance cut,2013-09-26
"Stock leaders stand strong, despite drift",2013-09-26
"Gundlach: Tesla, Facebook, Netflix leading markets",2013-09-26
J.C. Penney snaps losing streak; Facebook tops $50,2013-09-26
Car stocks seen having more gas left in tank,2013-09-30
Large investors refuse to sell this market,2013-10-01
Tesla shares slump almost 9% to $176.20,2013-10-02
"Tesla skids on downgrade, video of Model S on fire",2013-10-02
Tesla cut to neutral by Baird on execution risk,2013-10-02
Stock futures flat as shutdown drags on,2013-10-03
"Tesla shares extend losses, down 3% to $175.62",2013-10-03
U.S. stocks close lower on debt-ceiling anxiety,2013-10-03
"Tesla stuck in reverse, Herbalife loses momentum",2013-10-03
"Small caps push ahead, large caps lag",2013-10-03
Tesla rebounds as Musk weighs in on Model S fire,2013-10-04
"Tesla, BlackBerry are stocks to watch Monday",2013-10-07
Twitter is the best IPO opportunity since Tesla,2013-10-07
Apple gains on upgrade; BlackBerry rallies,2013-10-07
U.S. stocks drop; Dow skids nearly 160 points,2013-10-08
"Apple, Netflix, Yahoo among notable S&P 500 losers",2013-10-08
H-P has best day in four months on upbeat outlook,2013-10-09
J.P. Morgan down a penny after quarterly results,2013-10-11
Institutions are back at the feeding trough,2013-10-15
3 ways to get rich off global warming,2013-10-16
A bull market as typical as any other,2013-10-22
The perils of momentum darlings,2013-10-23
Large investors take some chips off the table,2013-10-24
"Nasdaq, Dow rally from first support",2013-10-24
The not-so-crazy case for commodities stocks,2013-10-24
BlackBerry gains on Facebook talk; Apple red,2013-10-29
A portfolio rotation for the medium-term speculator,2013-10-29
The Fed needs to do more,2013-10-30
Is there any upside left in Facebook?,2013-10-31
Selling in growth-stock leaders continues,2013-10-31
Apple falls as iPad Air debuts; Sony sinks further,2013-11-01
"GM, Ford, Tesla are Friday’s stocks to watch",2013-11-01
"Stock investors are flush, nervous, looking for clues",2013-11-03
Tesla rallies ahead of results; BlackBerry slumps,2013-11-04
"Your questions, my answers",2013-11-05
Tesla shares down 11% after hours,2013-11-05
A new ray of hope for momentum players?,2013-11-05
"AOL, Tesla, CVS are Tuesday’s stocks to watch",2013-11-05
Tesla narrows third-quarter loss,2013-11-05
CORRECT: Tesla Q3 adjusted earnings 12 cts/share,2013-11-05
Tesla posts loss as output climbs,2013-11-05
Tesla shares drop 12% as deliveries disappoint,2013-11-05
Tesla Motors Q3 net loss 32 cts/shr vs $1.05 loss,2013-11-05
"Updates, advisories and surprises",2013-11-05
Stocks end mostly down; Dow halts 2-day win streak,2013-11-05
Tesla Q3 revs $602.6 mln vs $50.1 mln,2013-11-05
Tesla shares slide 10.8% on profit outlook,2013-11-06
